"카테고리","이름","itemId","격자","희귀도","아이콘","폴더"
"Consumable","""?꾩궛罹?","soda_can","1x1","Common","N","Consumable"
"Consumable","""?덈툕李?","herbal_tea","1x1","Common","N","Consumable"
"Consumable","""?듭“由?","canned_food","1x2","Common","N","Consumable"
"Consumable","""?뚭툑""","ingredient_salt","1x1","Common","N","Consumable"
"Consumable","""?먮꼫吏諛?","energy_bar","1x1","Common","N","Consumable"
"Consumable","""?쇰㈃""","instant_noodles","1x1","Common","N","Consumable"
"Consumable","""?ㅽ깢""","ingredient_sugar","1x1","Common","N","Consumable"
"Consumable","""?쒕젰 ?섑봽""","energy_soup","1x1","Common","N","Consumable"
"Consumable","""\uBB3C\uBCD1""","water_bottle","1x2","Common","N","Consumable"
"Consumable","""援ъ슫 鍮?","cooked_bread","1x1","Common","N","Consumable"
"Consumable","""嫄댁쟾吏""","battery","1x1","Common","N","Consumable"
"Consumable","""怨좉린 ?ㅽ뒠""","cooked_stew","1x1","Common","N","Consumable"
"Consumable","""怨좉린 議곌컖""","ingredient_meat","1x1","Common","N","Consumable"
"Consumable","""諛媛猷?","ingredient_flour","1x2","Common","N","Consumable"
"Consumable","""留덈Ⅸ 梨꾩냼""","ingredient_vegetable","1x1","Common","N","Consumable"
"Consumable","""而ㅽ뵾""","coffee","1x1","Common","N","Consumable"
"Consumable","""?뱀젣 ?붾━""","special_meal","1x2","Rare","N","Consumable"
"Consumable","""\uC544\uB4DC\uB808\uB0A0\uB9B0""","adrenaline_shot","1x1","Rare","N","Consumable"
"Consumable","""媛곸꽦 二쇱궗""","stim_injector","1x1","Rare","N","Consumable"
"Consumable","""?⑤갚吏??먯씠??","protein_shake","1x1","Uncommon","N","Consumable"
"Consumable","""?곕쭑??","smoke_bomb","1x1","Uncommon","N","Consumable"
"Consumable","""?꾩긽 怨꾩륫湲?","phenom_meter","1x1","Uncommon","N","Misc"
"Consumable","""?덈툕""","ingredient_herb","1x1","Uncommon","N","Consumable"
"Consumable","""?좊퀝""","liquor_bottle","1x2","Uncommon","N","Consumable"
"Key","""?ㅽ뒠 ?덉떆??","recipe_stew","1x1","Common","N","Key"
"Key","""\uB179\uC2A8 \uC5F4\uC1E0""","key_rusty","1x1","Common","N","Key"
"Key","""鍮??덉떆??","recipe_bread","1x1","Common","N","Key"
"Key","""?뱀젣 ?붾━踰?","recipe_special","1x1","Rare","N","Key"
"Key","""愿痢??쇱? ?섏씠吏""","reg_core_observation_log","1x2","Rare","N","EternalNightCore"
"Key","""吏??議곌컖""","map_fragment","1x2","Rare","N","Key"
"Key","""?μ긽 ?댁뇿""","key_rooftop","1x1","Uncommon","N","Key"
"Key","""?덈툕李??덉떆??","recipe_tea","1x1","Uncommon","N","Key"
"Key","""?뷀샇 硫붾え""","code_paper","1x1","Uncommon","N","Key"
"Key","""?섑봽 ?덉떆??","recipe_soup","1x1","Uncommon","N","Key"
"Key","""寃쎈퉬 諛곗?""","badge_guard","1x1","Uncommon","N","Key"
"Key","""李쎄퀬 ?댁뇿""","key_warehouse","1x1","Uncommon","N","Key"
"Material","""?꾩꽑""","wire","1x1","Common","N","Material"
"Material","""?됯컖??罹?","reg_industrial_coolant_can","1x2","Common","N","Industrial"
"Material","""?뚯씠??","tape_roll","1x1","Common","N","Material"
