영역,기본프랍,prop_id,재질/변형,격자,기능,파괴최종형,우선순위,비고
좌석,의자,prop_chair,나무,1x1,-,Y,P1,
좌석,의자,prop_chair,철제,1x1,-,Y,P1,
좌석,의자,prop_chair,플라스틱,1x1,-,Y,P1,
좌석,의자,prop_chair,사무용(바퀴),1x1,-,Y,P1,
좌석,스툴,prop_stool,나무,1x1,-,N,P2,
좌석,스툴,prop_stool,철제,1x1,-,N,P2,
좌석,스툴,prop_stool,플라스틱,1x1,-,N,P2,
좌석,안락의자,prop_armchair,패브릭,1x1,루팅(소형),N,P2,
좌석,안락의자,prop_armchair,가죽,1x1,루팅(소형),N,P2,
좌석,소파,prop_sofa,패브릭,2x1,루팅,Y,P1,
좌석,소파,prop_sofa,가죽,2x1,루팅,Y,P1,
좌석,벤치,prop_bench,나무,2x1,-,N,P2,
좌석,벤치,prop_bench,철제,2x1,-,N,P2,
책상,식탁,prop_dining_table,나무,2x2,-,Y,P1,
책상,식탁,prop_dining_table,철제,2x2,-,Y,P1,
책상,커피테이블,prop_coffee_table,나무,2x1,-,N,P2,
책상,커피테이블,prop_coffee_table,유리,2x1,-,N,P2,
책상,책상,prop_desk,나무,2x1,루팅(서랍),Y,P1,
책상,책상,prop_desk,철제,2x1,루팅(서랍),Y,P1,
책상,사무책상,prop_office_desk,철제,2x2,루팅,N,P2,
책상,협탁,prop_nightstand,나무,1x1,루팅,N,P2,
수납,서랍장,prop_drawer,나무,1x1,루팅,Y,P1,
수납,서랍장,prop_drawer,철제,1x1,루팅,Y,P1,
수납,옷장,prop_wardrobe,나무,1x2,루팅,Y,P2,
수납,책장,prop_bookshelf,나무,1x2,루팅(정보/잡화),N,P1,
수납,책장,prop_bookshelf,철제,1x2,루팅(정보/잡화),N,P1,
수납,진열장,prop_display_cabinet,나무유리,1x2,루팅(귀중),Y,P2,
수납,서류캐비닛,prop_file_cabinet,철제,1x1,루팅(정보),N,P1,
수납,사물함,prop_locker,철제,1x1,루팅(잡화/열쇠),Y,P1,
수납,산업선반,prop_shelf_rack,철제,2x2,루팅(재료),N,P1,
