module,level,scrap_cost,materials,effect
stash,1,10000,scrap_metal:5,슬롯+N
stash,2,50000,tool_part:5,슬롯+N
stash,3,160000,circuit_board:3,슬롯+N
quarters,1,12000,cloth_rag:5,회복·수용+
quarters,2,55000,wood_plank:5,회복·수용+
quarters,3,140000,wood_plank:10,회복·수용+
workbench,1,15000,tool_part:3,제작·수리
workbench,2,80000,tool_part:6,레시피·속도
workbench,3,220000,circuit_board:3,레시피·속도
medbench,1,12000,chemical_flask:2,의료 제작
medbench,2,60000,chemical_flask:4,고급 의료
medbench,3,160000,chemical_flask:6,고급 의료
cooking,1,10000,scrap_metal:3,버프 음식
cooking,2,40000,fuel_can:1,버프 음식
cooking,3,100000,fuel_can:2,버프 음식
generator,1,18000,fuel_can:2,전력 가동
generator,2,90000,fuel_can:3,연료-25%
generator,3,250000,wire:5,연료-50%
radio,1,25000,wire:5,소식·파견알림
radio,2,110000,circuit_board:2,상인호출·장거리파견
radio,3,280000,circuit_board:4,구조·2지역예고
dispatch,1,30000,tool_part:3,슬롯1·교역자원정보
dispatch,2,130000,circuit_board:2,슬롯2·현상구조파견
dispatch,3,380000,circuit_board:4,슬롯3·크리율+
