id,disp,desc,gw,gh,cat,rar,stack,wt,use,fx,val,med,dur,maxDur,costDur
bandage,붕대,출혈 치료,1,2,1,0,3,0.1,1,2,0,bandage,0,0,0
splint,부목,골절 고정,1,2,1,0,2,0.4,1,2,0,splint,0,0,0
painkiller,진통제,통증 완화,1,1,1,0,5,0.05,1,2,0,painkiller,0,0,0
first_aid_kit,구급상자,HP 6회,2,2,1,1,1,0.8,1,1,40,,1,300,50
ifak_injury,부상 IFAK,부상 5회,2,2,1,1,1,0.8,1,2,0,kit,1,300,60
gauze_roll,거즈 롤,가벼운 출혈,1,1,1,0,5,0.08,1,2,0,bandage,0,0,0
bandage_compress,압박 붕대,출혈 강화,1,2,1,0,2,0.15,1,2,0,bandage,0,0,0
hemostatic_powder,지혈 분말,즉시 지혈,1,1,1,1,4,0.05,1,2,0,bandage,0,0,0
tourniquet,지혈대,사지 출혈,1,2,1,1,2,0.25,1,2,0,bandage,0,0,0
splint_makeshift,임시 부목,골절 응급,1,2,1,0,3,0.35,1,2,0,splint,0,0,0
morphine_ampule,모르핀 앰플,강한 통증,1,1,1,2,2,0.1,1,2,0,painkiller,0,0,0
disinfectant,소독약,감염 예방,1,1,1,0,3,0.15,1,2,0,bandage,0,0,0
antidote,해독제,중독 완화,1,1,1,1,2,0.1,1,2,0,kit,0,0,0
stim_injector,각성 주사,스태미너 회복,1,1,2,2,2,0.1,1,3,40,,0,0,0
energy_bar,에너지바,식사 보조,1,1,2,0,4,0.1,1,5,10,,0,0,0
flashlight_bulb,손전등 전구,수리 부품,1,1,3,1,2,0.1,0,0,0,,0,0,0
smoke_bomb,연막탄,시야 차단,1,1,2,1,2,0.2,0,0,0,,0,0,0
coffee,커피,스태미너,1,1,2,0,3,0.1,1,3,25,,0,0,0
axe,도끼,강공 그로기,3,2,0,1,1,2.2,0,0,0,,0,0,0
hammer,망치,방어 파괴,2,2,0,1,1,2,0,0,0,,0,0,0
long_sword,장검,사거리,2,3,0,2,1,1.8,0,0,0,,0,0,0
spear,창,거리 유지,1,3,0,1,1,1.5,0,0,0,,0,0,0
bat,야구방망이,넓은 스윙,3,1,0,0,1,1.2,0,0,0,,0,0,0
pipe_worn,녹슨 파이프,내구 낮음,2,1,0,0,1,0.9,0,0,0,,0,0,0
anomaly_blade,오염 칼날,이상현상,2,2,0,3,1,1,0,0,0,,0,0,0
coat_light,낡은 코트,방어구,2,2,6,0,1,1.5,0,0,0,,0,0,0
gloves_work,작업 장갑,방어구,1,1,6,0,1,0.2,0,0,0,,0,0,0
boots_rubber,고무장화,방어구,1,2,6,0,1,0.6,0,0,0,,0,0,0
vest_scrap,고철 조끼,방어구,2,2,6,1,1,2.5,0,0,0,,0,0,0
helmet_bucket,양동이 헬멧,머리 보호,2,2,6,0,1,1,0,0,0,,0,0,0
armor_night,밤순찰 방어구,밤 전용,2,3,6,2,1,3.5,0,0,0,,0,0,0
wire,전선,전기 부품,1,1,3,0,8,0.1,0,0,0,,0,0,0
tool_part,공구 부품,수리 제작,1,2,3,1,5,0.3,0,0,0,,0,0,0
chemical_flask,화학 플라스크,약품,1,1,3,1,4,0.2,0,0,0,,0,0,0
wood_plank,판자,시설,2,1,3,0,5,0.8,0,0,0,,0,0,0
fuel_can,연료통,발전기,2,2,3,1,2,1.5,0,0,0,,0,0,0
circuit_board,회로 기판,루디 제작,1,1,3,2,3,0.15,0,0,0,,0,0,0
ruby_dust,루디 가루,소량 루디,1,1,4,0,20,0.02,0,0,0,,0,0,0
ruby_core,루디 코어,고순도,2,2,4,3,1,1,0,0,0,,0,0,0
ruby_corrupted,오염 루디,위험 거래,1,1,4,3,3,0.15,0,0,0,,0,0,0
coin_old,구화,D급,1,1,4,0,30,0.02,0,0,0,,0,0,0
coin_military,군수화,C급,1,1,4,1,20,0.02,0,0,0,,0,0,0
token_subway,지하철 토큰,수집,1,1,4,0,10,0.03,0,0,0,,0,0,0
