id,disp,desc,gw,gh,cat,rar,stack,wt,use,fx,val,med,dur,maxDur,costDur,region
reg_silence_market_chit,침묵 시장 식표,생존자 시장 입장권,1,1,4,0,5,0.02,0,0,0,,0,0,0,silence_living
reg_silence_note_bundle,뭉친 쪽지 묶음,주거지 단서 뭉치,1,2,6,0,3,0.08,0,0,0,,0,0,0,silence_living
reg_scrap_neon_tube,네온관 잔해,폐상가 간판 부품,1,2,3,1,4,0.2,0,0,0,,0,0,0,scrap_market
reg_scrap_coupon_stack,상가 할인권 묶음,교역 지구 쿠폰,1,1,4,0,8,0.03,0,0,0,,0,0,0,scrap_market
reg_industrial_pressure_gauge,압력계 다이얼,설비 잔해 부품,1,1,3,1,3,0.25,0,0,0,,0,0,0,industrial
reg_industrial_coolant_can,냉각수 캔,발전소 소모품,1,2,3,0,4,0.5,0,0,0,,0,0,0,industrial
reg_entertain_show_ticket,공연 입장권 조각,폐극장 티켓,1,1,4,1,3,0.02,0,0,0,,0,0,0,entertainment
reg_entertain_luna_sticker,LUNA 스티커,네온 거리 기념품,1,1,4,0,6,0.01,0,0,0,,0,0,0,entertainment
reg_railway_rail_clip,레일 클립,철도 고정 부품,1,1,3,1,5,0.15,0,0,0,,0,0,0,railway_scrap
reg_railway_grease_tin,기차 윤활유,야드 기계용,1,1,3,0,4,0.35,0,0,0,,0,0,0,railway_scrap
reg_sanctuary_prayer_bead,기도 구슬,추모 지구 유물,1,1,4,1,2,0.04,0,0,0,,0,0,0,sanctuary_memorial
reg_sanctuary_wilted_flower,시든 헌화,대성당 헌화,1,1,6,0,3,0.06,0,0,0,,0,0,0,sanctuary_memorial
reg_core_observation_log,관측 일지 페이지,관측소 기록,1,2,5,2,1,0.05,0,0,0,,0,0,0,eternal_night_core
reg_core_void_residue,공허 잔류물,영야 코어 파편,1,1,4,3,2,0.12,0,0,0,,0,0,0,eternal_night_core
