region,tier,roll_count,item_id,weight,min,max
silence_living,container_day,4,reg_silence_market_chit,12,1,2
silence_living,container_day,4,reg_silence_note_bundle,10,1,1
silence_living,container_day,4,note_scrap,8,1,3
silence_living,container_day,4,coupon_faded,7,1,4
silence_living,container_day,4,coin_old,6,1,5
silence_living,container_day,4,junk_newspaper,6,2,5
silence_living,container_day,4,junk_sock_pair,5,1,2
silence_living,container_day,4,junk_toothbrush,5,1,3
silence_living,container_day,4,painkiller,5,1,2
silence_living,container_day,4,bandage,5,1,2
silence_living,container_day,4,gauze_roll,4,1,3
silence_living,container_day,4,junk_calendar,3,1,1
silence_living,container_day,4,coffee,3,1,2
silence_living,container_day,4,water_bottle,4,1,2
silence_living,container_day,4,ingredient_meat,5,1,2
silence_living,container_day,4,ingredient_vegetable,5,1,3
silence_living,container_day,4,ingredient_salt,4,1,2
silence_living,container_day,4,recipe_stew,3,1,1
silence_living,container_day,4,recipe_soup,3,1,1
silence_living,container_day,4,val_silver_spoon,7,2,4
silence_living,container_day,4,val_camera_film,6,2,4
silence_living,container_day,4,val_watch_wrist,5,1,3
silence_living,container_day,4,val_bracelet,5,1,2
silence_living,container_night,4,reg_silence_market_chit,10,1,2
silence_living,container_night,4,reg_silence_note_bundle,12,1,2
silence_living,container_night,4,note_scrap,9,2,4
silence_living,container_night,4,code_paper,6,1,1
silence_living,container_night,4,coin_military,5,1,3
silence_living,container_night,4,morphine_ampule,4,1,1
silence_living,container_night,4,tourniquet,4,1,1
silence_living,container_night,4,junk_keys_bent,5,1,2
silence_living,container_night,4,junk_wallet_empty,4,1,1
silence_living,container_night,4,bandage_compress,4,1,2
silence_living,container_night,4,energy_bar,3,1,2
silence_living,container_night,4,water_bottle,3,1,2
silence_living,container_night,4,ingredient_meat,4,1,2
silence_living,container_night,4,ingredient_vegetable,4,1,2
silence_living,container_night,4,val_ring_silver,6,2,4
silence_living,container_night,4,val_earring_pair,6,2,4
silence_living,container_night,4,val_jade_pendant,5,1,2
silence_living,ground_day,2,reg_silence_note_bundle,8,1,1
silence_living,ground_day,2,junk_newspaper,6,1,2
silence_living,ground_day,2,coin_old,5,2,6
silence_living,ground_day,2,junk_plastic_bottle,4,1,3
silence_living,ground_day,2,junk_comb,3,1,1
silence_living,ground_night,2,note_scrap,8,1,2
silence_living,ground_night,2,junk_pen_broken,5,2,5
silence_living,ground_night,2,coupon_faded,5,1,3
silence_living,ground_night,2,painkiller,4,1,2
silence_living,container_anomaly,3,ruby_shard,11,1,2
silence_living,container_anomaly,3,ruby_dust,10,2,5
silence_living,container_anomaly,3,anomaly_residue,8,1,2
silence_living,container_anomaly,3,stim_injector,5,1,1
silence_living,container_anomaly,3,val_artifact_shard,4,1,1
silence_living,container_anomaly,3,map_fragment,3,1,1
silence_living,container_anomaly,3,ruby_corrupted,1,1,1
silence_living,ground_anomaly,2,ruby_dust,8,1,3
silence_living,ground_anomaly,2,anomaly_residue,6,1,2
silence_living,ground_anomaly,2,ruby_shard,5,1,1
silence_living,ground_anomaly,2,black_liquid,3,1,1
scrap_market,container_day,4,reg_scrap_neon_tube,12,1,2
